DATE,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,convind,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,grltnoa,herf,hire,invest,lev,lgr,mve_ia,operprof,orgcap,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,ps,quick,rd,rd_mve,rd_sale,realestate,roic,salecash,saleinv,salerec,secured,securedind,sgr,sin,sp,tang,tb,aeavol,cash,chtx,cinvest,ear,ms,nincr,roaq,roavol,roeq,rsup,stdacc,stdcf,baspread,beta,betasq,chmom,dolvol,idiovol,ill,indmom,maxret,mom12m,mom1m,mom36m,mom6m,mvel1,pricedelay,retvol,std_dolvol,std_turn,turn,zerotrade
19870130,-0.23279712,0.068935126,0.8533122,-0.60770553,0.17609617,0.06290706,0.89118,-0.10500757,0.6104088,0.12016368,-0.02525305,0.104245655,0.40429598,0.23761591,0.00497121,-0.20252338,-0.057884324,-0.74782276,-0.22472383,-0.24437235,0.9938043,0.74039084,1.3218074,0.47373915,0.5053396,0.46568242,-0.6659537,0.55128473,0.4852476,0.3435707,0.4195991,0.8053372,1.1132355,0.038293928,0.103821814,0.49546045,-0.43993354,0.46787316,0.44843957,0.062792905,-0.022429094,0.078110576,0.07920707,0.320739,0.5688483,-0.0058600456,-0.29918477,-0.24785441,-0.24401899,0.18025512,1.0751181,0.3317106,0.34530225,0.2545528,-0.29325446,0.29806572,0.25016075,-0.22865519,0.3282789,-0.101656854,0.20789096,0.03423035,-0.1590626,0.012084961,0.1666368,0.19537571,0.25477415,0.27818212,0.76044226,-0.9668053,0.73495585,-0.07181041,-0.5092755,-0.48491052,-1.1461661,-0.43114355,-0.4636035,0.445424,1.560924,-1.6147164,-1.397414,0.9544623,-0.9075689,1.358011,0.93184656,1.3774216,1.3767027,1.947368,0.020736478,-1.3174994,-0.2849394,-0.11640075,-0.029328302,-0.10522168
19870227,0.584723,0.105445504,-1.3758484,0.6724353,-0.41959366,-0.22080103,-1.1030828,0.3390404,-0.8710699,-0.18336272,0.036153942,-0.041683614,-0.42269593,-0.24077237,0.070702426,0.3978689,0.34546334,1.1936759,0.3778002,0.49757642,-1.5130882,-0.84712756,-1.7616539,-0.51811224,-0.6070442,-0.52690876,1.0243118,-0.5895763,-0.50917804,-0.7039008,-0.44729957,-1.1649741,-1.511802,0.04480138,-0.11997159,-0.5423538,0.6139657,-0.564408,-0.5017902,-0.09756272,-0.02908587,-0.09021582,-0.10911303,-0.3720762,-0.6318956,0.28255847,0.6063346,0.47435385,0.5006815,-0.34788236,-1.4204301,-0.59103096,-0.57083064,-0.3898819,0.3179899,-0.5954423,-0.23062518,0.42811698,-0.7105589,0.32767084,-0.28323177,-0.06584041,0.3897305,-0.0598524,0.37785026,-0.25312766,-0.21976846,-0.32453558,-0.8056929,1.3401738,-0.8902937,0.16730204,1.0500377,0.3677795,1.6598698,0.86970925,0.97955835,-0.45926142,-2.1151009,2.488473,1.8983144,-1.3460746,1.4845425,-2.036079,-0.7858924,-1.9201438,-1.9945942,-2.5984912,0.18961972,1.90163,0.815072,0.3840578,0.3486724,0.2684813
19870331,0.9193969,0.44561613,-1.1711892,0.23655832,-0.58143216,-0.3952565,-0.7895618,0.58694345,-0.72533923,-0.09306028,0.1448681,0.30848202,-0.18286669,0.18630642,0.15301588,0.54046977,0.62988067,1.2782307,0.43822876,0.63423634,-1.4823954,-0.43744332,-1.4026681,-0.1288076,-0.26904666,-0.21798444,1.2399561,-0.25204653,-0.04936254,-0.95037794,-0.17268157,-0.8650602,-1.1645753,0.059317023,-0.09817736,-0.26736626,0.48189235,-0.4168375,-0.33855772,-0.098984584,-0.015095203,0.020192325,-0.12048899,-0.085602224,-0.3881788,0.56226176,0.82326823,0.52287,0.7657312,-0.3148691,-1.1634997,-0.6113753,-0.68628204,-0.31840646,0.005200416,-0.7691249,0.07527131,0.5200511,-0.9900092,0.5038316,-0.17457567,0.13493982,0.62508,-0.3148046,0.055285882,-0.4217065,0.19382536,-0.4027836,-0.72676146,1.2603251,-0.8347669,0.2636964,1.052938,0.452102,1.6975104,1.1914096,1.3243859,-0.12018506,-1.607831,2.5741394,1.8490143,-1.0840527,1.6475738,-1.8980877,-0.45323917,-1.5220813,-1.6201295,-2.117122,-0.10995613,1.9586091,0.7605834,0.7524714,0.7527413,-0.01698029
19870430,-0.44495356,-1.024392,-1.7029408,2.31353,-0.008274704,0.07880132,-2.494046,-0.46075857,-1.3926944,-0.0780958,-0.13778776,-0.9357025,-1.4828598,-1.6841152,-0.17206566,-0.00677222,-0.47773558,1.353646,0.16276632,-0.015992492,-1.351948,-2.3019505,-2.9084811,-1.8623925,-1.7268813,-1.9128113,0.99385285,-2.0307775,-2.100081,-0.10470945,-1.5056968,-2.2598479,-2.7976341,-0.12698087,-0.38932377,-1.2740012,1.1331257,-1.0975616,-1.01983,-0.12556691,0.08628074,-0.798179,-0.08138018,-1.6986827,-1.3998919,-0.70280766,0.10702336,0.28254393,-0.15680107,-0.36713922,-2.6420002,-0.827521,-0.40409344,-0.56377333,0.74723536,-0.6539134,-1.5566041,0.24532448,-0.21990538,-0.38556153,-0.91653854,-0.059439108,-0.25074026,-0.1548408,-0.13568662,-0.008330375,-1.7185967,-0.36273378,-1.8449677,2.074281,-1.6701297,-0.30102172,0.1407684,0.20553355,2.031228,-0.08532828,-0.20889121,-0.003925737,-3.0912056,2.6408803,2.7120605,-1.5638404,1.0981883,-2.604014,-0.4601285,-3.4777217,-1.8036128,-3.9640439,-0.027180037,1.7516115,1.6005191,-0.5169549,-0.56000197,0.7676808
19870529,-0.25556406,-0.5230681,-0.5277156,0.9801376,0.04019998,0.06173022,-0.98118174,-0.25106877,-0.45799544,-0.10324733,-0.09098463,-0.42369565,-0.64344305,-0.77560174,-0.11614832,-0.027374059,-0.2529112,0.5502808,0.116912924,0.03831497,-0.406847,-0.908085,-1.1023932,-0.80172473,-0.7502235,-0.83986634,0.31307697,-0.8338604,-0.9948555,-0.02074039,-0.7189503,-0.858841,-1.0864514,-0.018172987,-0.21994725,-0.45346656,0.40534773,-0.4580942,-0.32236886,-0.03809556,0.049189318,-0.37735853,-0.021956716,-0.7872808,-0.55564517,-0.3586135,0.05011253,0.1912061,-0.1296268,-0.15582354,-0.9983511,-0.3176618,-0.17247798,-0.23082614,0.24217612,-0.35229197,-0.7292921,0.14641535,-0.049410105,-0.16950576,-0.36938852,0.2735592,-0.1428799,-0.098053545,-0.002735531,-0.1012734,-0.7858734,-0.15854728,-0.8149996,0.89956474,-0.7620398,-0.09408575,0.042420395,0.07460774,0.6480055,-0.12756984,-0.20716877,-0.11833398,-0.92367923,1.0192804,1.1387398,-0.58946824,0.46850243,-0.97703606,-0.550704,-1.2437501,-0.47626814,-1.193137,-0.06024413,0.6595933,0.32846838,-0.27428553,-0.23464014,0.18285292
19870630,-0.40194348,-0.64488584,-0.31703424,0.961277,0.12218298,0.12288766,-0.93184924,-0.407705,-0.28581053,-0.10702242,-0.118382715,-0.51180655,-0.59914786,-0.8579241,-0.2244985,-0.11414391,-0.35024065,0.16403715,-0.0076062754,-0.09635511,-0.18823317,-0.8468329,-0.8886495,-0.90243864,-0.72495735,-0.89518225,-0.23524073,-0.76433474,-1.0171483,0.13391672,-0.69536024,-0.8266043,-0.9934666,-0.05545644,-0.17935169,-0.42998654,0.36028308,-0.44375163,-0.27878672,-0.0074398145,0.058444377,-0.39224166,0.011277061,-0.7958388,-0.5209333,-0.42670095,-0.068580896,0.08538225,-0.26335353,-0.109409444,-0.895915,-0.25662977,-0.07994897,-0.16872129,0.26800865,-0.21038654,-0.7810043,0.002742909,0.11409661,-0.25100955,-0.3800897,0.19742072,-0.2427342,-0.02853074,-0.17840825,-0.02204822,-0.8568114,-0.2304522,-0.7452251,0.66514766,-0.6779695,-0.17991461,-0.0032565817,-0.020760424,0.22514993,-0.3580845,-0.46360916,-0.3006865,-0.78393626,0.50687444,0.7379843,-0.2236458,0.0732196,-0.7526135,-0.34052658,-1.0398593,-0.294381,-0.8479816,-0.19032551,0.29983798,0.054665945,-0.37690732,-0.35329238,0.20624635
19870731,-0.32652795,-0.15807186,0.25135761,0.2508624,0.23942178,0.1704259,0.20933333,-0.17058149,0.19216251,0.021081187,-0.007037213,-0.05825095,-0.037211984,-0.14891794,-0.03334844,-0.22619835,-0.2026733,-0.4632918,-0.14430736,-0.18696812,0.32831416,0.03191498,0.33783394,-0.016411334,-0.02067253,-0.02635315,-0.38921782,-0.0507755,-0.09469062,0.29682815,-0.01847288,0.24934478,0.2917018,-0.07560047,-0.004892491,0.031341106,0.0075754374,0.122292936,0.08790036,0.03226521,0.06848584,0.0008879602,0.032914534,0.027435333,0.16006604,-0.21550074,-0.30374482,-0.19683889,-0.24793841,0.05243699,0.25745457,0.19040197,0.21544698,0.075353764,0.093072616,0.29890844,-0.1661619,-0.17422771,0.3254029,-0.20137313,0.07928537,-0.05791807,-0.27903244,0.02968447,0.023104683,0.1242487,-0.14652063,0.055498134,-0.03616023,-0.37587935,-0.016441196,-0.14727905,-0.40066215,-0.17161308,-0.5836704,-0.39433146,-0.4445926,-0.24335018,0.28175753,-0.8798106,-0.5746899,0.1606569,-0.55002946,0.5044424,0.24474652,0.2826004,0.20039709,0.49877298,0.00012925267,-0.7281846,-0.17112063,-0.2952089,-0.2653085,0.10110877
19870831,-0.7472464,-1.1454438,-0.796647,1.6551894,0.24335809,0.23346883,-1.6014884,-0.7531048,-0.40595737,-0.19359308,-0.10156171,-1.2683854,-0.8953141,-1.369452,-0.7884908,-0.288154,-0.54819405,0.5636122,-0.21674736,-0.28729296,-0.1814026,-1.7390862,-1.1597797,-1.5220279,-1.309542,-1.5606723,-0.23621249,-1.3230054,-1.6694347,0.24453488,-1.2260041,-1.4926982,-1.7006614,-0.016736463,-0.3163066,-0.5493345,0.68189216,-0.85854673,-0.18153141,-0.06991791,0.17406723,-0.5899713,-0.035360582,-1.3540316,-0.91334903,-0.76478195,-0.19015604,0.074228495,-0.28049123,-0.15300006,-1.6638955,-0.46479955,-0.17769106,-0.18030994,0.62880766,-0.16484311,-1.3569603,-0.24986178,0.1290594,-0.52560747,-0.8141911,-0.2222479,-0.46547842,-0.18614882,-0.6716187,0.21390638,-1.4126093,0.025335178,-1.2673187,0.47779995,-1.1595385,-0.3819417,-0.13710052,-0.14868252,0.53727293,-0.6021106,-0.7799176,-0.4615919,-1.5454743,0.6019826,1.1618642,0.15324467,0.026708186,-1.5158734,-0.78949904,-1.8477116,-0.7325798,-1.7037355,-0.099224575,0.34792536,0.02166015,-0.64780396,-0.76400965,0.29833552
19870930,0.34194463,0.83142805,0.88991266,-1.167545,0.0041086227,-0.07335888,1.584946,0.57984436,0.56787765,0.28708383,0.107370645,1.1034949,0.7812423,0.9528438,0.6698466,0.045093402,0.4083562,-0.92814505,0.12930235,0.07632147,0.44608986,1.4657316,1.4893154,1.3591988,1.2436256,1.3751338,-0.18383723,0.993868,1.3175292,0.052746683,1.033648,1.6390111,1.8481997,-0.056832723,0.21313307,0.39448646,-0.5833055,0.91131365,0.18529262,0.11861055,-0.06844448,0.47396216,0.08904307,1.1232407,1.0223688,0.46779796,-0.12560628,-0.31153533,-0.07344966,0.21453294,1.7706478,0.5914612,0.31056315,0.21143383,-0.5548416,0.327136,1.0141716,0.19474939,0.15597312,0.23724431,0.8005093,0.292134,0.12049599,0.28665242,0.57095814,-0.04823336,1.2339859,0.09185013,1.0271633,-0.9930356,0.93478596,0.0857176,-0.24182141,-0.5112037,-0.8493445,-0.01237309,0.14150599,0.0587764,1.6511284,-1.5244339,-1.5452244,-0.03634183,-0.50306106,1.4694619,1.6531684,2.0495656,0.8454335,2.0333412,0.30228668,-0.99109906,-0.57625294,0.31964406,0.3915754,-0.059608404
19871030,-0.08342928,-0.10225974,-0.042639878,0.13261086,0.035246316,0.030097276,-0.10707195,-0.07486827,-0.016007764,-0.008563768,-0.0145553555,-0.10629037,-0.072376095,-0.11420432,-0.07019222,-0.040486965,-0.058882885,-0.0072316322,-0.03643497,-0.04361414,0.023918612,-0.11953933,-0.07539897,-0.12261396,-0.10445181,-0.12205312,-0.02938129,-0.09852117,-0.140319,0.041713763,-0.10370598,-0.08360274,-0.10584667,-0.016115496,-0.02326031,-0.03325334,0.049934894,-0.06807429,0.00047992356,-0.0036519368,0.012859521,-0.052138746,-0.0008687393,-0.10095709,-0.069678515,-0.070374936,-0.041855622,0.00015855487,-0.03794192,-0.010871347,-0.122840814,-0.029732697,0.012200316,-0.011868522,0.056877837,0.011132121,-0.11878381,-0.031549357,0.030468956,-0.047801808,-0.054386735,-0.031344675,-0.05609712,-0.011969586,-0.04581695,0.031108314,-0.13205716,0.0068736635,-0.103085876,0.042355984,-0.09255173,-0.04309304,-0.013063362,-0.0126520395,-0.029253032,-0.0705774,-0.0975794,0.00016845297,-0.07981463,-0.001186721,0.050093085,-0.037099924,-0.058764637,-0.060367696,-0.05560287,-0.13439122,-0.025931813,-0.0844501,-0.022502892,-0.027867459,-0.01650822,-0.08047253,-0.098372795,0.019687854
