DATE,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,convind,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,grltnoa,herf,hire,invest,lev,lgr,mve_ia,operprof,orgcap,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,ps,quick,rd,rd_mve,rd_sale,realestate,roic,salecash,saleinv,salerec,secured,securedind,sgr,sin,sp,tang,tb,aeavol,cash,chtx,cinvest,ear,ms,nincr,roaq,roavol,roeq,rsup,stdacc,stdcf,baspread,beta,betasq,chmom,dolvol,idiovol,ill,indmom,maxret,mom12m,mom1m,mom36m,mom6m,mvel1,pricedelay,retvol,std_dolvol,std_turn,turn,zerotrade
19870130,-0.69117755,-0.52858067,1.6187866,1.0145123,1.3998938,0.7307163,0.011603743,-1.1056057,0.12891135,-0.15392259,0.17173715,-0.71019185,-0.347641,-0.17644066,-0.100055225,-0.15666702,-0.7897252,-0.6931135,-0.30020759,-0.4824965,1.2589804,-0.5429802,0.8336565,-0.31288868,0.076553375,-0.33261713,-0.17141756,-0.1947611,-0.2507135,1.6021674,-0.2580057,0.70437396,0.44802645,-0.5311657,-0.29821813,-0.16706116,-0.090184696,0.10875337,0.002917409,-0.1352549,-0.18726814,0.23849186,-0.0460904,-0.25262362,0.41841662,-0.6428101,-0.8025609,0.6543618,-0.43620518,-0.69577944,0.3018759,0.9871111,0.4914804,0.34864306,-0.4504901,0.74418354,-0.1356524,-0.42246085,1.5996699,-0.77462804,-0.4312539,0.07074928,-0.72655416,-0.09593071,0.29530275,0.5297935,-0.27991143,-0.2304686,0.50433874,-0.46429372,0.6543344,-0.24002123,-0.5526941,-0.50898266,-0.86307514,-1.0745649,-1.1857884,1.1047969,0.42544997,-1.6168277,-0.70585513,0.48502457,-1.0310946,0.8680823,0.6093395,0.15196487,2.1589012,0.42623284,0.43500578,-1.2420518,-0.22477084,-0.80849034,-0.67218477,0.79277074
19870227,1.0603709,-0.53417474,0.008265734,1.0183219,-0.8083887,-0.9167774,-0.6754628,0.8268723,0.34593436,0.4623232,-1.0126562,-0.10201877,0.20655838,-0.05414788,1.4215922,0.2673412,1.4499123,0.9980548,-0.42114758,-0.20787942,-0.8368196,-0.14096051,-0.0077576637,0.5473218,0.5397794,0.7823742,1.0595136,1.0321091,0.5838377,-0.21124658,0.8047472,0.041040838,-0.14555198,-0.24288917,0.0859572,-0.3103714,0.5301663,0.19348755,0.055703223,0.3745175,0.051379338,0.2555638,0.3768162,-0.52296555,0.43224946,1.3726876,1.8259796,2.0885692,2.2131429,-1.5069547,-0.5933529,-0.9918368,-0.03182204,-1.0093296,-1.8383684,-2.1404889,0.90783036,-0.3781492,0.09469244,1.1386932,0.029194199,-0.04788467,1.8021727,1.7756153,-0.3597263,0.28696218,1.4101615,0.18731372,0.20385627,1.3580661,0.2986651,0.46390367,0.6389061,1.2089102,1.0401647,2.769742,2.913422,0.33428997,0.041504502,1.5749946,0.4426614,-0.33617434,1.5318351,-0.02106835,-1.0903627,-1.3013253,0.53643197,-0.36156642,-0.31904626,2.3015456,-0.76610523,0.4858448,0.53601474,-1.2320247
19870331,-0.28841287,-0.070973545,-1.5696195,-0.27478868,-1.6811659,-1.3808323,-1.3022082,0.8195644,-0.50200236,0.043073893,-0.4973247,0.085513055,-0.74711853,-0.4440533,0.14678624,-0.4019692,-0.046758294,1.1626394,-0.13130027,0.07609627,-0.6547679,-0.61660755,-0.96361434,-0.33971947,-0.9191083,-0.94548166,-0.34648877,-0.75204086,-0.9247809,-2.2625213,-0.86687195,-0.9949847,-1.2379495,0.7659492,-0.30502257,-0.4427746,0.16834946,-0.5973851,-0.42351428,0.28092995,0.21991913,-0.3435206,0.23980042,-0.3091971,-0.8748666,-0.15832567,1.1252382,-0.8515639,0.5777539,0.04875174,-1.5705817,-1.4021254,-0.5383532,-0.7916394,-1.0586696,-2.7108366,-0.93055737,-0.0054941773,-2.2660894,0.162161,-0.741186,-0.57398045,0.03288448,-0.22927344,0.0013891682,-0.58858097,0.24112332,0.3448956,-0.54539764,-0.19374847,-0.47541013,-0.15533924,0.028903425,-0.7034234,0.48526788,1.1581274,1.3886273,-1.9941406,-1.7022285,1.8685017,0.37388933,0.3291934,1.4543009,0.3568308,-1.3982952,-0.9915545,-0.12623678,-1.4507968,-0.09202653,1.6557244,-0.18707018,0.36143458,0.19595969,-0.2623682
19870430,-1.4341815,-0.76070774,-0.14798337,1.9154078,1.29517,0.6829438,-2.8462114,-2.0853622,-1.8416184,-1.1131395,-0.19858629,-1.6814446,-2.466323,-0.7574203,-0.5035204,-0.7952969,-2.1972244,-0.03967852,-0.8339913,-0.91216457,0.47506493,-2.2560136,-1.2741587,-1.7918085,-2.016067,-2.2015674,-0.6166487,-2.3855107,-2.1669765,1.1480578,-2.5718956,-0.874755,-1.9315044,0.29296362,-1.303244,-1.4205266,-0.016048089,-1.2823647,-1.1212671,0.016923811,-0.14271867,-0.30405855,0.058396205,-0.49039656,-1.5747936,-2.0619116,0.031327352,0.18266475,-0.21480238,0.33562565,-2.7456665,0.4520561,0.05345135,-0.15952465,-0.9198642,-1.4220865,-2.0126286,-0.83773136,0.95717037,-2.1007698,-1.29426,-0.9243135,-2.545771,-2.279887,-0.4272421,-0.5647075,-2.0269911,-1.2682847,-2.8385267,-0.5213038,-2.1964142,-1.544213,-0.9671485,-0.99952966,-0.16720289,-1.7662787,-1.6571169,-1.5686724,-3.9059336,0.21390791,1.3656688,-0.6667958,-0.49480426,-2.7565525,-1.7097411,-2.4608612,-2.526585,-3.2497296,0.26781774,-0.07284272,0.59511954,-2.5654182,-3.1394756,2.2907422
19870529,-1.5021589,-0.82110304,0.585388,2.002238,0.8865001,0.5603496,-1.95186,-1.8133748,-0.8950633,-0.7584944,-0.023181558,-1.6415865,-2.0285592,-0.85309976,-0.5594778,-0.71390146,-1.9636047,-0.19418466,-0.6310924,-0.6826619,0.9696196,-1.7481015,-0.62118524,-1.4304839,-1.8026762,-1.9436456,-0.85817724,-1.9748437,-1.9003137,0.851778,-2.0963254,-0.5789938,-1.3924086,0.2949775,-1.0011604,-0.8814998,0.014076695,-0.91187495,-0.63891107,0.15827093,0.023609452,-0.17147052,0.21495815,-0.46181276,-0.9542123,-1.6428106,-0.26659778,0.16103971,-0.46793112,-0.14243115,-1.8289257,0.55566466,0.045715183,0.09364334,-1.0672565,-0.2630741,-1.7419609,-0.5526569,0.83915234,-1.5285726,-1.1750358,-0.9847428,-2.2416523,-1.5951889,-0.7485045,-0.030446619,-1.1536008,-0.66948795,-1.5343336,-1.1614767,-1.0971018,-1.4439518,-1.1223028,-1.0971591,-0.20061888,-1.7877911,-1.7245443,-0.64648074,-2.379816,-1.0139693,0.040914,0.45640254,-1.1677141,-0.19299734,-1.4804996,-1.5098108,-0.06745617,-1.9172283,0.49273926,-1.0447166,0.20387964,-1.79926,-2.2637022,1.6978676
19870630,-1.0713557,-0.5658099,0.4204952,1.1458045,0.99748755,0.6675338,-1.3922937,-1.5851064,-0.8795063,-0.6905136,0.030460633,-1.2556279,-1.6015791,-0.6207927,-0.535485,-0.3826981,-1.5588505,-0.3504879,-0.41160464,-0.47669682,0.40697736,-1.3288926,-0.43941757,-1.164532,-1.4344882,-1.5022433,-0.6803627,-1.5916306,-1.4811337,1.0895652,-1.684231,-0.39449054,-1.003736,-0.0082659125,-0.7143989,-0.6992775,-0.07964793,-0.60159886,-0.51488197,-0.08044783,-0.2019165,-0.13105015,-0.03689392,-0.3020469,-0.73578376,-1.4415052,-0.43769014,-0.01858148,-0.49843144,0.118425876,-1.2545462,0.43394473,0.051749874,0.10856591,-0.59031206,-0.29520857,-1.3785174,-0.42555293,0.85029805,-1.3620678,-0.8132856,-0.6430067,-1.8873738,-1.5238085,-0.22473127,-0.15778299,-1.2276119,-0.8307738,-1.4087081,-0.7564597,-1.022222,-1.0226853,-0.78270245,-0.7287071,-0.053076982,-1.5405667,-1.511372,-0.67257667,-1.9414877,-0.61209255,0.6508527,0.4786907,-0.6452825,-0.78496474,-0.77105653,-1.4137741,-0.70799094,-1.4425334,0.13968034,-0.4939667,0.07892435,-1.5504879,-1.8670225,1.333456
19870731,-1.0066463,-0.09077902,0.1194748,0.7373736,1.0545639,0.8199548,-0.055654153,-0.85303974,-0.43025744,-0.210669,0.15155339,-0.22696836,-0.5171476,-0.16257393,-0.35813004,-0.33702153,-0.98161817,-0.58362085,0.2774502,0.28634608,0.6502931,-0.32595757,-0.10628591,-0.5627731,-0.41446185,-0.5308578,0.20013942,-0.8779942,-0.5902996,0.95501035,-0.69095683,0.053876854,-0.09070877,-0.24437466,0.013513066,-0.12744956,0.09773328,-0.14316976,-0.16577701,-0.19755226,-0.03972762,-0.11181686,-0.2364336,0.21224761,-0.14154923,-0.7862407,-0.6922509,-0.6000767,-0.99155307,0.30654448,-0.062915355,0.56735903,0.21276833,0.36190712,0.8784336,1.056617,-0.51781225,0.19447443,0.71515423,-0.82463515,-0.3019764,-0.1290138,-1.2685922,-0.9019496,-0.08430534,-0.14725848,-0.84751403,-0.63648117,-0.7961987,-0.43948364,-0.6400922,-0.5312549,-0.29103145,-0.43773434,-0.07334253,-1.2837932,-1.3900338,0.1336759,-0.3858517,-0.62891936,0.2421731,0.94453835,-0.7388919,-0.6714275,0.6537608,-0.31175852,-0.34944543,-0.1741623,0.11507727,-0.8298959,0.31951058,-0.9844042,-1.0859067,0.85578954
19870831,-1.5399721,-0.48690236,-0.10629453,0.98531026,0.8950902,0.6939896,-1.2641624,-1.57806,-0.97936845,-0.6429193,0.007374577,-0.9053697,-1.3519726,-0.70646566,-0.6674411,-0.9421524,-1.756415,-0.6972646,-0.20654604,-0.1973389,0.44622672,-1.0752698,-0.8742821,-1.671077,-1.4380062,-1.5436974,-0.667455,-1.7706996,-1.6386659,0.61292046,-1.9881105,-0.41357613,-1.0736727,-0.23819527,-0.27751642,-0.44716445,-0.0079083815,-0.6458261,-0.355617,-0.24060431,-0.26473105,-0.5161627,-0.26607513,-0.2501768,-1.0752835,-1.3743649,-0.8766263,-0.7312725,-0.9033469,0.11175011,-1.1946418,0.19829445,0.086915225,0.020576,-0.08172387,-0.21545875,-1.56023,-0.3745098,0.31365836,-1.4290571,-1.1335441,-0.7006078,-2.2083032,-1.8189274,-0.10359795,-0.4537096,-1.6428466,-0.91948587,-1.63281,-0.5091779,-1.206481,-1.1740131,-0.05749938,0.020469934,-0.24694312,-1.536763,-1.5333806,0.0483208,-1.5236273,-0.79373205,0.036137313,0.5139783,-0.6587895,-1.0416608,-0.3307863,-1.0064635,-0.5893025,-1.0662336,0.4397276,-0.6801944,-0.011699244,-1.3208072,-1.4615839,1.3354886
19870930,1.2494061,0.0637556,1.2474035,-0.6571634,0.05385995,0.040662676,1.6128533,1.4997058,1.4947686,0.74211186,0.48710114,0.7147994,1.2030672,0.48365527,0.60636246,0.8973155,1.3275061,0.28848475,0.3566292,0.048895955,-0.47109205,0.9098478,1.2376761,1.8083111,1.5022502,1.605788,1.4282224,1.4978421,1.5496714,0.7609282,1.7685578,0.5757763,1.3689055,0.35915893,0.22643733,0.63046545,-0.11214244,0.81178784,0.5774834,0.21617648,0.49857,0.49137866,0.30148998,0.20810369,1.2919843,0.87414616,0.31393766,0.8930739,0.64436984,0.25260514,1.6716344,1.1600707,0.05357158,0.739239,1.1594001,2.744969,1.5841852,0.38193136,1.0212203,0.892699,1.2662728,0.35899818,1.6033115,1.4941471,0.42305654,0.7302851,1.801156,0.66477966,1.5527843,1.5466948,1.0504031,0.7311542,0.56005776,0.74768996,-0.043085814,-0.10095904,-0.23700449,0.6413182,1.5058897,-0.33043098,-0.45550513,0.4307269,-0.72098917,1.4763898,1.3544176,1.0970734,1.4132888,1.2076783,0.06366992,-1.0305824,0.46979994,0.45831618,0.36661002,-0.21891555
19871030,-0.7886621,-0.6136658,0.42305297,1.2217247,0.6859335,0.4803344,-1.2075429,-0.4281289,-0.35660693,-0.3260915,-0.1864255,-0.6342823,-1.1035631,-0.81212234,-0.29637802,-0.68227124,-0.6939629,0.04912868,-0.05194331,-0.41311622,-0.15466201,-1.0896049,-0.92499334,-0.53559136,-1.0157818,-1.1599152,-0.15156342,-1.1583245,-1.0850798,0.79678583,-1.4598504,-0.6385373,-1.1797476,0.6720366,-0.46228975,-0.14565854,0.21448985,-0.5294847,-0.02431605,0.29902086,0.056987464,-0.3459392,0.2748516,-0.42600495,-0.8321887,-0.6362609,-0.3658903,0.004959494,-0.11971688,0.40299577,-1.099992,1.0633074,-0.2856516,0.29159403,0.17357439,1.0248965,-1.1329448,-0.10879181,0.8989708,-0.3345019,-0.74468505,-0.48839772,-0.67372155,-0.8584055,-0.30497688,0.006521344,-0.2550006,0.03510773,-0.39258152,-0.6137079,-0.30544454,-0.6137996,-0.8125907,-0.7626314,-0.18368539,-1.5631213,-1.5831913,0.018741429,-1.9175394,-0.8547313,-0.007121891,0.10901978,-1.2498268,0.18332312,-1.0998992,-0.5632821,0.4914418,-1.7070125,0.63523775,-1.2385131,0.6315721,-1.241146,-1.4136394,1.8056544
