DATE,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,convind,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,grltnoa,herf,hire,invest,lev,lgr,mve_ia,operprof,orgcap,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,ps,quick,rd,rd_mve,rd_sale,realestate,roic,salecash,saleinv,salerec,secured,securedind,sgr,sin,sp,tang,tb,aeavol,cash,chtx,cinvest,ear,ms,nincr,roaq,roavol,roeq,rsup,stdacc,stdcf,baspread,beta,betasq,chmom,dolvol,idiovol,ill,indmom,maxret,mom12m,mom1m,mom36m,mom6m,mvel1,pricedelay,retvol,std_dolvol,std_turn,turn,zerotrade
19870130,-0.15583982,0.21857865,0.78857464,-0.019746482,0.542834,0.39862716,0.48026568,-0.16641487,0.4263435,0.3053297,0.23326953,0.10241463,0.2921559,0.20451394,0.1323607,-0.005742662,0.073496625,-0.44969523,0.08331529,0.04588767,1.0298274,0.3018111,0.8490982,0.18852356,0.26987404,0.12155825,-0.3874411,0.17786777,0.10996518,0.6024264,0.1815663,0.4168077,0.53847504,0.07510516,0.30801493,0.3453645,-0.0022798032,0.38672966,0.36814326,0.23321238,0.16127604,0.23836476,0.26240474,0.26922894,0.40614206,0.16278347,-0.29223502,0.06773262,-0.10705057,0.26246876,0.48641005,0.48241323,0.50570333,0.23270085,-0.2798817,-0.26580533,0.056757167,0.09962995,0.4638719,0.022447191,0.2723902,0.17196974,0.06383157,0.10697321,0.28702176,0.3624446,0.24332538,0.26438925,0.33678848,-0.6744,0.30653235,0.09237868,-0.31237605,-0.2887589,-0.78438425,-0.7486509,-0.7977239,0.5807001,0.42593995,-1.4575615,-0.9581715,0.6930292,-0.80800515,0.79182476,0.54358274,0.67151374,1.032383,0.68111026,0.28040218,-1.2009096,0.03262046,-0.054527685,-0.18090537,0.28659588
19870227,0.46305734,-0.24061255,-1.4506474,0.62266934,-0.5246593,-0.31967086,-1.203197,0.38103724,-0.9111936,-0.48747623,-0.23737505,-0.26498622,-0.6650003,-0.39821827,-0.053591788,0.1070559,0.0019771922,1.0091776,0.10448691,0.14127734,-1.7082932,-0.9125856,-1.8119622,-0.41546714,-0.5899254,-0.4381186,0.9557828,-0.6026672,-0.43387166,-0.70442766,-0.5333524,-0.87435585,-1.3641,0.18203807,-0.463122,-0.5366547,0.30874828,-0.6250817,-0.56445706,-0.19160193,-0.1426217,-0.33457914,-0.24285567,-0.36979643,-0.7409021,-0.19988276,0.6689942,0.088641584,0.34129426,-0.31514722,-1.2736007,-0.54864734,-0.80410635,-0.3081514,0.82087487,0.7327217,-0.38448232,0.08187556,-0.49910742,-0.0015621507,-0.4255216,-0.19130713,0.017864157,-0.3320744,-0.082007915,-0.3940121,-0.46308422,-0.34335202,-0.9456883,1.5092266,-0.8845831,-0.11989711,0.8681524,-0.014794841,1.7548834,0.98623025,1.1349996,-0.3938721,-1.6616254,2.8088002,2.0842595,-1.3605943,1.6414387,-1.7944531,-0.46961853,-1.8139077,-1.7501361,-1.9881164,-0.11647585,2.121972,0.90454507,0.06832445,-0.107097566,0.2357673
19870331,0.82036734,0.2798413,-0.96215904,0.089233875,-0.7823104,-0.43690348,-0.43737012,0.89202476,-0.28321323,-0.0027908087,0.10773462,0.40735358,-0.021209724,0.20475015,0.3503024,0.5884481,0.4906836,1.2795719,0.42171165,0.47315952,-1.3396205,-0.08878783,-1.0530185,0.1916762,0.0067651123,0.20482244,1.1457773,0.14485377,0.24316263,-0.7955757,0.09925194,-0.27610874,-0.49666724,0.3628987,0.0005454421,0.06013228,0.5175611,-0.13061233,0.020657688,0.1490958,0.26609805,0.08145681,0.11807093,0.1757676,-0.09314549,0.35428506,1.0189564,0.43238375,0.81259197,-0.018646866,-0.49077386,-0.3230367,-0.42782354,0.0011545718,0.68866014,0.7242545,0.31126544,0.4290124,-0.56015277,0.5306797,0.09657979,0.34760842,0.5352353,0.26062584,0.14338952,-0.16065556,0.103339374,0.1545439,-0.22282547,1.3346,-0.15680563,0.39026868,0.8760089,0.44438285,1.3198367,1.8771513,1.9610591,0.3255985,-0.33061558,2.6476998,1.4400746,-0.8317312,2.0646546,-1.0136025,0.26569837,-0.78268135,-0.77780664,-0.78978544,-0.12516749,2.3317182,0.374483,0.9789281,1.0061896,-0.4371472
19870430,-0.08993494,-0.80142343,-1.2777823,2.5131881,1.0307323,0.7651522,-2.4565282,-0.77333766,-1.7027024,-0.8712806,-0.27665833,-1.3716067,-1.7026738,-1.203396,-0.3268764,-0.55266917,-0.85699433,0.4050727,-0.2148048,-0.19509326,-0.95295006,-2.420308,-2.433987,-1.4141393,-1.4223878,-1.5798289,0.88703287,-2.1453416,-1.6996562,0.50643116,-1.6511021,-1.3898289,-2.6724975,0.092141375,-0.8050723,-1.0020026,0.43936837,-1.0823902,-0.9814679,-0.23001243,-0.24431951,-0.647794,-0.25871858,-0.86364126,-1.4270562,-0.93920356,0.050906226,-0.12880072,-0.2238046,-0.31570625,-2.6422086,-0.13505585,-0.7873018,-0.43931767,1.2327372,0.6692753,-1.7878278,-0.3064805,0.46456265,-0.83414936,-0.9533316,-0.6503549,-0.8455427,-1.7239482,-0.38829646,-0.6680477,-1.198516,-1.0450807,-2.802497,1.9008169,-2.576904,-1.1105858,-0.17049807,-0.16312896,2.7493908,-1.5059277,-1.3812104,-1.0200412,-4.040976,2.1782274,3.6778514,-0.86462045,0.4190732,-2.5506935,-0.69859517,-3.6036308,-2.5267892,-3.9212801,0.52625716,1.2586333,2.2845652,-1.828935,-2.5794084,2.2133293
19870529,-0.053615995,-0.44878587,-0.5101768,1.8178518,0.98730934,0.7700373,-1.4100889,-0.55293167,-0.9216413,-0.44434154,-0.031931043,-0.93856096,-1.039535,-0.7278161,-0.10234822,-0.35827026,-0.50010765,0.20068872,0.028884456,0.009483762,-0.119541466,-1.4914534,-1.2725163,-0.80849314,-0.8814675,-1.0352404,0.51263976,-1.3881897,-1.1392113,0.66725427,-1.0750914,-0.74392027,-1.5345857,0.16358644,-0.4105112,-0.4657116,0.3090148,-0.55825937,-0.45109648,-0.0077065974,-0.028204799,-0.31544477,0.0026263297,-0.4174297,-0.7170247,-0.55431086,0.09183983,0.041934717,-0.11542021,-0.039910406,-1.5523403,0.20746125,-0.3177795,-0.07271038,0.7456212,0.5061604,-1.1768602,-0.026613474,0.64428663,-0.5152241,-0.5115204,-0.2580748,-0.57348335,-1.2634029,-0.2569368,-0.35271353,-0.6636937,-0.69155717,-1.89546,1.1887975,-1.7898337,-0.7521381,-0.11348904,0.007842958,1.2050678,-1.2812257,-1.2109264,-0.21183877,-2.4702792,0.8986304,2.0738764,-0.09472546,-0.067189544,-1.3145057,-0.5071666,-2.1949186,-1.1103636,-2.3177168,0.4241633,0.36073044,1.345435,-1.226127,-1.7173429,1.552928
19870630,0.011493466,-0.21597722,-0.23591228,1.197277,0.7081175,0.5428686,-0.75274813,-0.32269672,-0.41304016,-0.13040334,0.0529923,-0.54766667,-0.57129455,-0.3900394,0.0036897808,-0.19088921,-0.24052899,0.1335082,0.11295806,0.10536187,-0.05279383,-0.873608,-0.6531313,-0.44277847,-0.47059053,-0.578932,0.295445,-0.7792314,-0.6746384,0.51538783,-0.62211645,-0.42197537,-0.8765415,0.18948045,-0.14882281,-0.22514762,0.24199241,-0.2360941,-0.2079409,0.05529575,0.051319808,-0.083110556,0.060297564,-0.19529249,-0.364554,-0.28697667,0.035318322,0.06733634,-0.047884814,0.06627649,-0.8440288,0.25142914,-0.12060757,0.062651485,0.5212903,0.36262894,-0.70439136,0.060562193,0.49998593,-0.26441103,-0.22551116,-0.059541777,-0.3007857,-0.6797717,-0.04714875,-0.09462187,-0.29136413,-0.33536786,-0.8834207,0.6560372,-0.84706175,-0.27271682,0.013565555,0.009799451,0.7922574,-0.9467296,-0.8907126,-0.08888768,-1.567365,0.46498957,1.3867979,0.41246432,-0.14692499,-0.5046398,-0.31877458,-1.312464,-0.49794105,-1.473265,0.30609366,0.14580959,0.7877682,-0.79754657,-1.1412526,1.0696758
19870731,-0.24291553,0.037523832,0.5641321,0.029331535,0.36904472,0.21125595,0.39462546,-0.1962225,0.29811177,0.20107383,0.10151325,0.04313717,0.12262978,0.039954424,0.14922036,-0.14960772,-0.06366626,-0.4909583,0.0067876875,-0.004535109,0.61381316,0.19810851,0.5182439,0.09235218,0.13671196,0.08675924,-0.41994807,0.01051265,0.019997925,0.39838216,0.048972905,0.33881605,0.38830805,-0.13594422,0.096791714,0.15366021,0.015604287,0.1669211,0.16117004,0.08442731,0.102151245,0.10540336,0.1028761,0.10824965,0.23033862,0.0051718354,-0.36471096,-0.10532011,-0.2220396,0.10031392,0.35469675,0.24681017,0.38289288,0.09648593,-0.32886282,-0.19984493,-0.020789519,0.0019815415,0.22556672,-0.07473172,0.13421357,-0.025021773,-0.16847223,0.0013721287,0.18201476,0.1857863,0.15861228,0.10562652,0.20714995,-0.72967255,0.16917974,-0.027891919,-0.43114072,-0.047155805,-0.6241223,-0.73149174,-0.791558,-0.40497398,0.37853077,-1.4219961,-0.7667987,0.13548625,-0.816456,0.579987,0.38498068,0.46863514,0.15614921,0.61118644,0.13089314,-1.0992583,-0.16383152,-0.2644803,-0.34209356,0.19795728
19870831,-0.3969907,-0.75959796,-0.24300241,1.3514961,0.71142566,0.52905095,-1.0327412,-0.7310978,-0.55698705,-0.45070285,-0.1038827,-1.0078621,-0.7279362,-0.83786523,-0.5213221,-0.569566,-0.52231,-0.2065251,-0.118826225,-0.13024724,-0.105608314,-1.1496637,-0.85798216,-0.82423025,-0.7948267,-0.9481811,0.10435401,-1.0974209,-1.0808358,0.4065683,-0.9590263,-0.66988903,-1.1759919,-0.00054938346,-0.3618334,-0.48973352,0.1704298,-0.49397126,-0.45852816,-0.1577013,0.1388053,-0.4511001,-0.180587,-0.60322016,-0.7684422,-0.585543,-0.26821694,-0.19910438,-0.36050418,-0.2066903,-1.0948627,0.031974167,-0.27009585,-0.08404441,0.36107078,0.2102479,-1.0326126,-0.23048592,0.30677488,-0.5361324,-0.5987631,-0.525751,-0.58393234,-0.9668505,-0.30380628,-0.14365162,-0.60371023,-0.523829,-1.1059047,0.40870786,-1.1343952,-0.49322304,0.4064392,0.4034466,0.6245269,-1.4650079,-1.4227648,0.20582736,-1.8589135,-0.065755874,1.1100892,0.1516069,-0.5097078,-0.8502324,-0.42208952,-1.4009233,-0.54033303,-1.5570823,0.2512238,-0.3077127,0.5656639,-1.1121519,-1.5773427,1.1874759
19870930,0.28583884,0.76705873,0.88376784,-0.8835861,0.065861404,0.025145799,1.3013561,0.5248152,0.91553164,0.7273574,0.46150255,0.9457215,0.8631054,0.7707603,0.72209865,0.45249295,0.48891792,-0.137604,0.2912401,0.34030873,0.86268365,1.2270764,1.3397617,0.8530947,0.9008784,0.9306559,-0.3154564,0.9419291,0.951391,0.30050632,0.87897533,0.9619939,1.3631928,-0.013544202,0.5751161,0.73687917,0.04189658,0.77192163,0.71666354,0.46340242,0.21590026,0.71135217,0.4975894,0.7652403,0.9843456,0.6253928,-0.008233864,0.24006554,0.28927428,0.47465217,1.2902974,0.45819876,0.7380658,0.35624373,-0.44437376,-0.21708012,0.927999,0.41054308,0.1466512,0.5015815,0.82409495,0.5449365,0.4262931,0.88149476,0.6491201,0.4224637,0.82447517,0.682112,1.205569,-0.82279015,1.1726307,0.4509898,-0.1526568,-0.25904104,-0.84590685,0.41472867,0.27555275,0.29125386,1.7184222,-1.2498233,-1.561645,0.13437349,-0.20947331,1.1563803,1.1407328,1.6092645,0.8567673,1.7602664,0.17426968,-0.71138906,-0.58748347,0.7387119,0.901738,-0.39458674
19871030,0.002804325,-0.0543149,0.19265687,0.61139446,0.44783032,0.35045084,-0.14724696,-0.12515792,0.036269486,0.090160444,0.13327622,-0.20071569,-0.04821004,-0.1533376,0.038887873,-0.08579168,-0.031809032,-0.031764843,0.11161432,0.10875781,0.26132327,-0.27967948,-0.084562786,-0.07678961,-0.058971513,-0.16007525,0.1247049,-0.24426323,-0.2554012,0.3851065,-0.17395346,0.0064778477,-0.23210572,0.15222836,0.1084159,0.051181264,0.24268356,0.023377404,0.0697384,0.18318866,0.20782202,0.0040242597,0.18067962,0.0031035542,-0.06844364,-0.014943186,-0.026669733,0.08994637,-0.007635521,0.1503839,-0.1900262,0.31235316,0.16593596,0.1482683,0.19352755,0.17407158,-0.27879,0.10569831,0.3364703,-0.040699102,-0.000520654,0.07494417,-0.09519282,-0.15285155,0.09683877,0.19086072,0.037891537,0.023612104,-0.22152689,0.0719801,-0.2104134,-0.031898886,0.083496734,0.11627896,0.14953195,-0.646964,-0.6601787,0.43976966,-0.48412567,-0.35952848,0.27806047,0.10718679,-0.3671293,-0.019481033,0.0026798993,-0.28039992,0.23497176,-0.34177756,0.28126204,-0.33562636,0.30030495,-0.33985987,-0.5176215,0.58539975
